"login";"name";"email";"codeChurn";"codeChurnClientFiles";"commits";"commitsClientFiles";"commitsImportLibrary";"imports";"daysBetweenImports";"daysSinceLastImport";"daysSinceFirstImport";"avgDaysCommitsClientFiles";"avgDaysCommitsImportLibrary";"projects";"projectsImport";"survey"
"54c2a5cce54f386cadf5cbfbb46c9062";"C. M . ";"69769544e9f655902c0fe62d2573ca70";63460;2269;79;17;2;3;99;900;1000;58.5882352941176;499.5;1;1;4
"67a8012b0f1971ad173f1e3c2ba9a0a3";"D. P . ";"1f49b0652f7eeea3009bdfff7d15082c";19;17;2;1;0;0;;;;926;;1;0;3
"0d1448c0afb6e17a04af913667eaf47e";"F. D . ";"1630f914ce0b33561515b81739f17f1e";831;372;21;5;1;1;0;1031;1031;206;1031;1;1;1
"034146bb3e7651813e1d649ec34f0658";"J. C . ";"116efe9aa8b93a8a002bd2b0df033161";74;55;1;1;0;0;;;;1253;;1;0;3
"59326238784404451a6f1ec988103eba";"J. B . ";"ddd446cf80d4ea6c3ce900e798e515a3";10;10;3;3;0;0;;;;239.666666666667;;1;0;4
"7942b485bef8fb5f2077089db143707f";"K. J . ";"4e03cc0fdc5ae1757a9be63f43502eb6";30;28;2;2;0;0;;;;397.5;;1;0;3
"a98d46016e8517868b006a52b349f9bc";"V. L . ";"a8b5ad954c85b56dba12cb4ac327b1df";2777;284;7;4;1;5;0;1754;1754;438.5;1754;2;1;2
"dd47febfc66f3919761d0eedf7eeb80e";"M. O . ";"612ec289056c545083b8c0baa9e68a9f";70073;725;7;3;2;11;0;1187;1187;395.333333333333;593.5;2;1;4
"d5b1940d79589693e03dcd68636373af";"M . ";"129613a9629eadbd3a78e069dd0d49c5";28214;1086;484;53;7;7;294;831;1125;20.8867924528302;160.285714285714;1;1;3
"ca103865aa66246c414d27fec34af772";"G. D . ";"67ff83e9e77aba0d54973142c56cfa20";1852;365;3;2;1;4;0;1472;1472;735.5;1472;2;1;4
"b46ccdf171c1a106cb8fb532c4e5d93c";"N. W . ";"ba7a03fd78c2e95962fde04d882d1ed9";83245;6299;452;32;14;31;485;58;544;23.0625;38.7142857142857;1;1;3
"8df08fd5f2accb7b1de77511739c1d21";"R . ";"bc1e2f8917df628a3639815856d0acb5";52752;8868;174;45;13;40;431;343;774;16.8888888888889;59.1538461538462;3;3;4
"af7c897a125c18e86d05d288c6d1c553";"J. L . ";"77991a566b8b22cec039764266f2b82a";1617;237;37;7;3;4;0;139;139;26;46.3333333333333;2;1;3
"719f943f2143ce5fd1a147366a1107ee";"V . ";"bfd4ca0afe7d9e48db0ec6a54edb32ac";11;5;1;1;0;0;;;;808;;1;0;2
"b34e98e4622144796776eafc70fe481c";"Y. R . ";"9ea3e1403062885dc712aeabc7f6a706";7844;253;34;2;1;4;0;104;104;51.5;104;2;1;3
"179345d3fb729175ec88cbe39bc73b17";"A. S . ";"af59b2d9a0575ad425cf8b23babc6f83";150779;69;2107;4;0;0;;;;224.75;;1;0;3
"7ccdb0657667504a6ccb0665cfe0e92b";"C. F . ";"6751f4a7eaba73279ee0dabafe3caccf";5;5;1;1;0;0;;;;2537;;1;0;3
"9e0124e668b19f141214c4937aa21716";"B. R . ";"b023cfbfde8d0b34c9b8db58db4bd226";1241;3;20;1;0;0;;;;913;;1;0;2
"9a9042dbde0b42691d005a34c18afc8e";"B. K . ";"7a159a37b743e25934da5b274ef18734";3;3;1;1;0;0;;;;1227;;1;0;4
"32bc6a7dcf01831c48e19b5323c61259";"B. S . ";"ba1dfd5becdeacf4ddbec623d3c639a3";12;12;1;1;0;0;;;;1586;;1;0;3
