"login";"name";"email";"codeChurn";"codeChurnClientFiles";"commits";"commitsClientFiles";"commitsImportLibrary";"imports";"daysBetweenImports";"daysSinceLastImport";"daysSinceFirstImport";"avgDaysCommitsClientFiles";"avgDaysCommitsImportLibrary";"projects";"projectsImport";"survey"
"01ec9036ec04cdfc227ca154ce371830";"V. N . ";"1d0a4898241343394ac42413c6181528";558;277;3;2;2;17;82;119;202;100.5;100.5;3;2;4
"86339579fe78c05cb63c5eefc948bd77";"T. K . ";"827d1f54ddb67b01ceae7192c367978d";137;137;7;4;2;6;622;298;920;229.75;460;3;2;5
"ce9d427705f102dcbb196bf675fabc5b";"A. T . ";"e18013b72254f8e4f3e813f3500c33b0";27;27;3;2;1;1;0;1111;1111;555.5;1111;1;1;3
"3ee0c6ad1ebcf92fef487aaa8c57180e";"4 . ";"9242b8d15392cc317c7dc4809e1a84d4";10;10;2;2;0;0;;;;148;;1;0;3
"069a6b688f68defb352585786936e303";"L. D . ";"2e8883912cfc2f99835adb585af1de89";3162;1559;38;27;7;27;244;370;614;22.4814814814815;87.4285714285714;3;2;4
"7fc56270e7a70fa81a5935b72eacbe29";"S. A . ";"3dd006a36829ae4c75e23ee5eb81518e";13;13;5;4;0;0;;;;72.75;;1;0;3
"b0c4d8f5abd3b64543cb70a45f86e222";"Y . ";"0fd12c5ac9b1b68d565cc6a8d7cc985f";24;24;1;1;1;1;0;704;704;704;704;1;1;4
"3d9bf12733f181aac5c16a788e4fc849";"A. Å . ";"ded3fb2f40c768ea74e9cdc47a980edc";1809;998;23;17;10;39;358;181;539;31.4705882352941;53.7;4;3;3
"452769763faa0b9c7c1d81c85b61578a";"A. K . ";"92559d42766f3bf7dcd0030f468cf0ef";7;5;2;1;0;0;;;;435;;2;0;4
"02f24b8834d1c34dd51ef38608793dcf";"A. S . ";"b05542985d6d1ec0d1824283c614fd80";12;12;2;2;0;0;;;;296;;2;0;3
"a29a5522a0e6c076c99019cf5a4d2f46";"C. C . ";"99f6e8f8f60b050dde071f420f033e61";19791;13915;397;215;48;119;939;196;1136;5.09302325581395;23.3541666666667;9;8;3
"cc7b4b72cb0cff6989f8dba0c89397c1";"A. M . ";"f644eedabe71b8f9b9e1c099701e36b0";507;478;4;4;2;4;49;633;683;170.25;341;2;2;3
"d68bb1ba5a61c74d2be241adbbfc0331";"A . ";"6049d311a50ecefb898e678074fe8ebe";3342;186;39;18;1;1;0;270;270;14.8888888888889;270;1;1;3
"c9189f62f03f0679bea52fd8a18f13c0";"A. L . ";"f796782eb380db64f6d2beb8c97c8b99";68;68;4;4;0;0;;;;108.25;;1;0;5
"dca1c44709d397045975859c7555ba7d";"R. A . ";"3c17d458a9457bd24f860d78de41ae87";200;107;3;3;1;3;0;517;517;172;517;2;1;4
"ad665855994e80f9bcdf4754a4cab763";"A . ";"fecd7578058edf600e52fb989d4c9cc2";1311;340;5;2;1;5;0;498;498;356.5;498;3;1;4
