"login";"name";"email";"codeChurn";"codeChurnClientFiles";"commits";"commitsClientFiles";"commitsImportLibrary";"imports";"daysBetweenImports";"daysSinceLastImport";"daysSinceFirstImport";"avgDaysCommitsClientFiles";"avgDaysCommitsImportLibrary";"projects";"projectsImport";"survey"
"7ce0fde545169b396757d969cb68b8ab";"A . ";"2c2817335cbb4fe2e43d2ed10cf3f1d9";1263;16;89;2;0;0;;;;99.5;;1;0;1
"6e77ddc3af496e5fc02810203b1c2328";"V . ";"d6b84385f794ebdd8a2d7eef1191e798";22;22;5;2;0;0;;;;359;;1;0;3
"3a355c8bbd15fcce572e2fe0918ce6d1";"M. B . ";"ef24c4ac5eaae85dad9aa0f2b06abb47";12;12;1;1;0;0;;;;397;;1;0;3
"52cc186a2e690b66daf76ac0248e1424";"R. B . ";"12c586166be488c1431fc7b8f330ab01";2;2;1;1;0;0;;;;49;;1;0;1
"87c176757b64c069f896ceae52415dc8";"G . ";"c0d8e28e0f3f3f5be8af8d620a96f53b";2403;10;28;1;0;0;;;;516;;1;0;2
"6b7fa47f14afc13b976fe0910c14ceb9";"J. T . ";"f9da2be0d3b55d9ae41f932507f924a7";9229;1390;50;15;4;11;260;1455;1715;113.933333333333;428.5;3;2;1
"8d83c34f9abb833573a024045e9ded16";"A. V. C . ";"beb9b9e5c28099b85ef05dbe32279209";70205;1986;942;89;5;5;520;791;1311;14.7752808988764;262;1;1;4
"a0f197a2d376f78197ec39a66c857195";"M. U . ";"6fe4afda96a6e068d2f0c62f05ea4f34";2737;436;23;2;1;1;0;1010;1010;505;1010;2;1;2
"b49bc984b4761807d4e231c41ad2ad36";"M. W . ";"0c898623b15817167d8f81b314ffc034";391;165;12;8;3;3;51;753;804;106.125;268;3;1;4
"76c95728fb8df26170c375d138cc8787";"M. T . ";"fc939e06778057e9f42ffb11a3dc69b5";23138;149;315;6;1;1;0;747;747;124.166666666667;747;1;1;3
"80a68d77b9f0af808d426d6564689898";"O. E. G . ";"168b38ad0b6217c3fa13a8249a308029";1305;156;14;2;1;1;0;593;593;296;593;1;1;2
"ea98a8bcfd9a30dac7beb5bad3b68238";"O. V . ";"3f836b9b0aa8df57f1218eed264e2471";18070;252;370;17;4;4;326;349;675;39.4117647058824;168.5;8;4;4
"ab8a818f17ee08ca4aeeacc612535a41";"P . ";"feb6916c6fa0fc518199dab93d299d59";13448;212;145;9;0;0;;;;59.1111111111111;;1;0;4
"9d36642973486822300de7fa9fe35ad7";"R. K . ";"04e8df2f64c8537718b326faac14a36b";7;7;1;1;0;0;;;;2377;;1;0;1
"d13df76ddb02f363ebdab54200b63b57";"R. W . ";"617e9a818cc9244e6855efefb5c3dad1";2829;805;121;33;5;5;279;345;624;18.6363636363636;124.6;2;2;3
"6b2f2002b721e25d27b4226fd3eeac9a";"J. H . ";"0f4447fbf2d4e7bb62a999079e5ddb87";555;245;12;5;0;0;;;;219.6;;1;0;2
"87d6d53781b67b2ebaf638ceb8a2ce73";"S . ";"563f5189bfce1c1ca00c753e5070eeda";297116;295;35;8;2;2;57;658;716;89.125;357.5;1;1;1
"70519e5c5327d4ef9047b695a33aad65";"V . ";"f60e65f7fe1c250ff82dc20e52e02cbf";4;2;4;1;0;0;;;;941;;1;0;3
"554fe1785e334517cf159b6ad55d4c29";"B. L . ";"4b50a97a9ed0ae938b1e2524e3747284";23428;1578;37;18;1;1;0;404;404;22.4444444444444;404;1;1;4
"91eff4357b3db81dd1514b577c789dd7";"A. F . ";"016ccc6ef40fd8d9b6b1f53e85694b39";24667;1675;208;35;14;22;452;1195;1648;46.9142857142857;117.428571428571;4;3;2
"5c0ab6ba4f33eaf5c471d31d7e8a8475";"A. K . ";"ccf35211b9e3a1f0026f33c3a881cd85";1945;24;127;5;1;1;0;2307;2307;465.6;2307;2;1;2
"0bff77a6eb6cab48b615035218846055";"A. J . ";"8a8563911626d9915f0d85fc242c32fd";22160;1663;315;44;2;2;856;760;1616;36.4090909090909;808;2;2;3
"84d58f94810375db46cb249acb1ea768";"A. A . ";"d0cecf5747250848ec7df59c9bc065fe";6;6;2;1;0;0;;;;514;;1;0;2
"80409dbe3a79758705419ad40bf7c6b4";"A. F . ";"f37560f324be02a7e7741d0d66987c95";178;14;15;2;0;0;;;;855;;1;0;2
"9a2efffdc0fa4bb18c61e2453327c63c";"P. M . ";"6d1317437558398c4a1ccda143b1bc7f";202;202;8;8;1;1;0;136;136;17;136;1;1;3
"557d2cf40061e11f090e0b297ab5391b";"B. R . ";"8e76cd2d7edd32e3ca5ff08f91d46103";8;8;1;1;1;2;0;2706;2706;2706;2706;1;1;1
"10e8a7be90ae1738d97e4097d6bac95a";"B . ";"1580ae0ac3d9ef25d5d71af8ebf948eb";49;4;4;1;0;0;;;;1546;;1;0;3
